feature,importance
M7,0.00084338157
V145,0.0008391392
id_05,0.00083770184
id_25,0.00083380344
V155,0.00082445174
V84,0.0008190621
id_02,0.00080972136
V185,0.00080507854
V42,0.0007958806
V254,0.00079546584
V319,0.00079528603
V142,0.00078232196
V227,0.0007774706
V252,0.00077054143
V220,0.00076691667
V147,0.0007660802
V275,0.0007629467
V168,0.0007605207
V267,0.0007577276
V46,0.00075606746
V184,0.0007519877
V255,0.00074840913
V180,0.0007456109
V32,0.0007353164
V226,0.00073377485
V169,0.00073357375
V239,0.00073270506
V106,0.0007304082
V221,0.00072816655
V235,0.00071817095
V173,0.0007174995
V179,0.0007140544
V212,0.00071369327
V277,0.00070797064
V166,0.0007055309
V37,0.00070224906
V259,0.0007000128
V138,0.00069705135
V238,0.0006866505
V203,0.0006838043
V202,0.00068307936
V98,0.00068094756
V302,0.00068001525
V178,0.0006754095
V233,0.00066586735
V123,0.0006597802
V297,0.0006564078
id_28,0.0006563197
V213,0.000655775
V186,0.0006506436
V191,0.00064412534
V270,0.0006416587
V17,0.00064143783
id_13,0.00064128824
V265,0.00064012344
dist2,0.00063928874
V216,0.00063568074
V274,0.00063283916
D14,0.0006320794
id_11,0.0006320293
V215,0.00063202536
V104,0.00063000625
V204,0.00062314805
V263,0.0006186652
V256,0.0006117507
id_18,0.00061057264
V234,0.0006088396
V328,0.00060683873
id_29,0.000605881
V278,0.0006048221
V101,0.0005998322
V139,0.0005983106
id_08,0.0005975849
V211,0.0005919048
V176,0.0005846197
V167,0.00058311014
id_19,0.0005819836
V232,0.0005783414
V194,0.0005774349
V196,0.00057629147
V240,0.00057505624
V334,0.0005741156
V199,0.00057288003
V31,0.0005722129
D7,0.0005710025
V276,0.0005579495
V214,0.00055758056
V264,0.0005564938
V39,0.00055552484
V190,0.0005553692
id_26,0.0005539829
V122,0.0005419222
V218,0.0005416783
V146,0.0005345477
D9,0.0005281279
V339,0.0005238999
id_24,0.00051986176
id_10,0.00051794155
V132,0.00051055354
V18,0.00050565536
id_16,0.0005021677
V140,0.0004893283
V120,0.0004773465
V153,0.00047123898
V236,0.0004443073
V181,0.0004432133
V325,0.00031964644
V237,0.0003084037
V157,0.00021250176
id_22,0.00018660398
card1_nunique,0.0
V305,0.0
V1,0.0
addr1_nunique,0.0
addr2_nunique,0.0
V241,0.0
TransactionAmt_std,0.0
V14,0.0
card2_nunique,0.0
V107,0.0
V27,0.0
V28,0.0
V41,0.0
V65,0.0
V68,0.0
V88,0.0
V89,0.0
V119,0.0
V118,0.0
V117,0.0
V113,0.0
is_weekend,0.0
